date,Kendari,isPartial
2021-02-21,33,False
2021-02-28,31,False
2021-03-07,23,False
2021-03-14,27,False
2021-03-21,34,False
2021-03-28,27,False
2021-04-04,31,False
2021-04-11,35,False
2021-04-18,33,False
2021-04-25,31,False
2021-05-02,34,False
2021-05-09,24,False
2021-05-16,31,False
2021-05-23,27,False
2021-05-30,29,False
2021-06-06,29,False
2021-06-13,35,False
2021-06-20,38,False
2021-06-27,36,False
2021-07-04,34,False
2021-07-11,37,False
2021-07-18,28,False
2021-07-25,27,False
2021-08-01,27,False
2021-08-08,31,False
2021-08-15,30,False
2021-08-22,28,False
2021-08-29,30,False
2021-09-05,27,False
2021-09-12,31,False
2021-09-19,26,False
2021-09-26,27,False
2021-10-03,28,False
2021-10-10,27,False
2021-10-17,28,False
2021-10-24,23,False
2021-10-31,25,False
2021-11-07,30,False
2021-11-14,26,True
