date,Manggarai Timur,isPartial
2018-09-30,26,False
2018-10-07,25,False
2018-10-14,26,False
2018-10-21,29,False
2018-10-28,24,False
2018-11-04,26,False
2018-11-11,17,False
2018-11-18,37,False
2018-11-25,4,False
2018-12-02,22,False
2018-12-09,9,False
2018-12-16,27,False
2018-12-23,19,False
2018-12-30,19,False
2019-01-06,13,False
2019-01-13,9,False
2019-01-20,13,False
2019-01-27,13,False
2019-02-03,9,False
2019-02-10,21,False
2019-02-17,13,False
2019-02-24,30,False
2019-03-03,18,False
2019-03-10,0,False
2019-03-17,25,False
2019-03-24,17,False
2019-03-31,9,False
2019-04-07,13,False
2019-04-14,26,False
2019-04-21,26,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,22,False
2019-05-19,17,False
2019-05-26,9,False
2019-06-02,16,False
2019-06-09,31,False
2019-06-16,21,False
2019-06-23,13,False
2019-06-30,34,False
2019-07-07,38,False
2019-07-14,21,False
2019-07-21,34,False
2019-07-28,12,False
2019-08-04,8,False
2019-08-11,13,False
2019-08-18,29,False
2019-08-25,25,False
2019-09-01,8,False
2019-09-08,12,False
2019-09-15,4,False
2019-09-22,8,False
2019-09-29,28,False
2019-10-06,20,False
2019-10-13,8,False
2019-10-20,19,False
2019-10-27,8,False
2019-11-03,28,False
2019-11-10,43,False
2019-11-17,35,False
2019-11-24,19,False
2019-12-01,34,False
2019-12-08,16,False
2019-12-15,33,False
2019-12-22,17,False
2019-12-29,17,False
2020-01-05,47,False
2020-01-12,30,False
2020-01-19,40,False
2020-01-26,31,False
2020-02-02,74,False
2020-02-09,23,False
2020-02-16,15,False
2020-02-23,27,False
2020-03-01,11,False
2020-03-08,33,False
2020-03-15,24,False
2020-03-22,23,False
2020-03-29,32,False
2020-04-05,16,False
2020-04-12,13,False
2020-04-19,7,False
2020-04-26,28,False
2020-05-03,25,False
2020-05-10,22,False
2020-05-17,12,False
2020-05-24,28,False
2020-05-31,23,False
2020-06-07,16,False
2020-06-14,14,False
2020-06-21,30,False
2020-06-28,30,False
2020-07-05,23,False
2020-07-12,14,False
2020-07-19,16,False
2020-07-26,28,False
2020-08-02,10,False
2020-08-09,25,False
2020-08-16,10,False
2020-08-23,16,False
2020-08-30,22,False
2020-09-06,16,False
2020-09-13,28,False
2020-09-20,36,False
2020-09-27,37,False
2020-10-04,51,False
2020-10-11,26,False
2020-10-18,6,False
2020-10-25,28,False
2020-11-01,16,False
2020-11-08,23,False
2020-11-15,13,False
2020-11-22,13,False
2020-11-29,9,False
2020-12-06,26,False
2020-12-13,7,False
2020-12-20,15,False
2020-12-27,27,False
2021-01-03,28,False
2021-01-10,17,False
2021-01-17,7,False
2021-01-24,7,False
2021-01-31,27,False
2021-02-07,7,False
2021-02-14,17,False
2021-02-21,43,False
2021-02-28,46,False
2021-03-07,60,False
2021-03-14,74,False
2021-03-21,36,False
2021-03-28,10,False
2021-04-04,24,False
2021-04-11,21,False
2021-04-18,27,False
2021-04-25,35,False
2021-05-02,18,False
2021-05-09,17,False
2021-05-16,22,False
2021-05-23,31,False
2021-05-30,24,False
2021-06-06,29,False
2021-06-13,24,False
2021-06-20,40,False
2021-06-27,18,False
2021-07-04,25,False
2021-07-11,32,False
2021-07-18,33,False
2021-07-25,16,False
2021-08-01,23,False
2021-08-08,13,False
2021-08-15,0,False
2021-08-22,14,False
2021-08-29,14,False
2021-09-05,35,False
2021-09-12,21,False
2021-09-19,28,False
2021-09-26,39,False
2021-10-03,18,False
2021-10-10,11,False
2021-10-17,22,False
2021-10-24,14,False
2021-10-31,24,False
2021-11-07,29,False
2021-11-14,33,True
