date,Minahasa Utara,isPartial
2020-10-11,13,False
2020-10-18,23,False
2020-10-25,11,False
2020-11-01,25,False
2020-11-08,22,False
2020-11-15,15,False
2020-11-22,32,False
2020-11-29,55,False
2020-12-06,54,False
2020-12-13,16,False
2020-12-20,20,False
2020-12-27,5,False
2021-01-03,23,False
2021-01-10,20,False
2021-01-17,7,False
2021-01-24,22,False
2021-01-31,13,False
2021-02-07,21,False
2021-02-14,16,False
2021-02-21,28,False
2021-02-28,17,False
2021-03-07,24,False
2021-03-14,23,False
2021-03-21,11,False
2021-03-28,11,False
2021-04-04,45,False
2021-04-11,14,False
2021-04-18,16,False
2021-04-25,16,False
2021-05-02,17,False
2021-05-09,14,False
2021-05-16,12,False
2021-05-23,23,False
2021-05-30,29,False
2021-06-06,29,False
2021-06-13,22,False
2021-06-20,24,False
2021-06-27,28,False
2021-07-04,17,False
2021-07-11,19,False
2021-07-18,14,False
2021-07-25,24,False
2021-08-01,15,False
2021-08-08,17,False
2021-08-15,13,False
2021-08-22,18,False
2021-08-29,31,False
2021-09-05,32,False
2021-09-12,16,False
2021-09-19,23,False
2021-09-26,14,False
2021-10-03,26,False
2021-10-10,36,False
2021-10-17,17,False
2021-10-24,18,False
2021-10-31,18,False
2021-11-07,21,False
2021-11-14,27,True
