date,Muna,isPartial
2018-09-16,45,False
2018-09-23,63,False
2018-09-30,66,False
2018-10-07,47,False
2018-10-14,36,False
2018-10-21,59,False
2018-10-28,41,False
2018-11-04,47,False
2018-11-11,35,False
2018-11-18,61,False
2018-11-25,43,False
2018-12-02,72,False
2018-12-09,45,False
2018-12-16,55,False
2018-12-23,31,False
2018-12-30,59,False
2019-01-06,48,False
2019-01-13,46,False
2019-01-20,44,False
2019-01-27,43,False
2019-02-03,31,False
2019-02-10,49,False
2019-02-17,57,False
2019-02-24,37,False
2019-03-03,41,False
2019-03-10,40,False
2019-03-17,47,False
2019-03-24,35,False
2019-03-31,34,False
2019-04-07,54,False
2019-04-14,33,False
2019-04-21,53,False
2019-04-28,37,False
2019-05-05,64,False
2019-05-12,33,False
2019-05-19,35,False
2019-05-26,18,False
2019-06-02,31,False
2019-06-09,36,False
2019-06-16,69,False
2019-06-23,47,False
2019-06-30,40,False
2019-07-07,27,False
2019-07-14,53,False
2019-07-21,32,False
2019-07-28,36,False
2019-08-04,37,False
2019-08-11,28,False
2019-08-18,39,False
2019-08-25,46,False
2019-09-01,28,False
2019-09-08,51,False
2019-09-15,57,False
2019-09-22,21,False
2019-09-29,28,False
2019-10-06,35,False
2019-10-13,52,False
2019-10-20,67,False
2019-10-27,46,False
2019-11-03,37,False
2019-11-10,68,False
2019-11-17,54,False
2019-11-24,38,False
2019-12-01,49,False
2019-12-08,41,False
2019-12-15,45,False
2019-12-22,35,False
2019-12-29,43,False
2020-01-05,39,False
2020-01-12,43,False
2020-01-19,44,False
2020-01-26,34,False
2020-02-02,32,False
2020-02-09,38,False
2020-02-16,43,False
2020-02-23,38,False
2020-03-01,60,False
2020-03-08,47,False
2020-03-15,35,False
2020-03-22,47,False
2020-03-29,55,False
2020-04-05,25,False
2020-04-12,37,False
2020-04-19,41,False
2020-04-26,31,False
2020-05-03,27,False
2020-05-10,42,False
2020-05-17,36,False
2020-05-24,26,False
2020-05-31,35,False
2020-06-07,40,False
2020-06-14,44,False
2020-06-21,20,False
2020-06-28,37,False
2020-07-05,45,False
2020-07-12,33,False
2020-07-19,44,False
2020-07-26,32,False
2020-08-02,45,False
2020-08-09,52,False
2020-08-16,47,False
2020-08-23,30,False
2020-08-30,51,False
2020-09-06,31,False
2020-09-13,30,False
2020-09-20,35,False
2020-09-27,36,False
2020-10-04,52,False
2020-10-11,51,False
2020-10-18,32,False
2020-10-25,53,False
2020-11-01,56,False
2020-11-08,35,False
2020-11-15,56,False
2020-11-22,38,False
2020-11-29,44,False
2020-12-06,98,False
2020-12-13,54,False
2020-12-20,28,False
2020-12-27,23,False
2021-01-03,39,False
2021-01-10,38,False
2021-01-17,30,False
2021-01-24,38,False
2021-01-31,50,False
2021-02-07,33,False
2021-02-14,52,False
2021-02-21,33,False
2021-02-28,42,False
2021-03-07,37,False
2021-03-14,54,False
2021-03-21,42,False
2021-03-28,39,False
2021-04-04,38,False
2021-04-11,29,False
2021-04-18,42,False
2021-04-25,45,False
2021-05-02,30,False
2021-05-09,31,False
2021-05-16,30,False
2021-05-23,49,False
2021-05-30,47,False
2021-06-06,41,False
2021-06-13,42,False
2021-06-20,34,False
2021-06-27,49,False
2021-07-04,42,False
2021-07-11,35,False
2021-07-18,30,False
2021-07-25,34,False
2021-08-01,29,False
2021-08-08,27,False
2021-08-15,37,False
2021-08-22,32,False
2021-08-29,42,False
2021-09-05,47,False
2021-09-12,50,False
2021-09-19,47,False
2021-09-26,56,False
2021-10-03,43,False
2021-10-10,60,False
2021-10-17,37,False
2021-10-24,51,False
2021-10-31,33,False
2021-11-07,51,False
2021-11-14,48,True
