date,Nias Selatan,isPartial
2019-04-14,36,False
2019-04-21,32,False
2019-04-28,11,False
2019-05-05,25,False
2019-05-12,30,False
2019-05-19,19,False
2019-05-26,11,False
2019-06-02,7,False
2019-06-09,8,False
2019-06-16,32,False
2019-06-23,5,False
2019-06-30,11,False
2019-07-07,3,False
2019-07-14,16,False
2019-07-21,13,False
2019-07-28,8,False
2019-08-04,24,False
2019-08-11,27,False
2019-08-18,10,False
2019-08-25,15,False
2019-09-01,18,False
2019-09-08,22,False
2019-09-15,12,False
2019-09-22,10,False
2019-09-29,12,False
2019-10-06,12,False
2019-10-13,13,False
2019-10-20,7,False
2019-10-27,2,False
2019-11-03,15,False
2019-11-10,24,False
2019-11-17,12,False
2019-11-24,17,False
2019-12-01,24,False
2019-12-08,15,False
2019-12-15,3,False
2019-12-22,13,False
2019-12-29,19,False
2020-01-05,5,False
2020-01-12,16,False
2020-01-19,5,False
2020-01-26,22,False
2020-02-02,15,False
2020-02-09,31,False
2020-02-16,14,False
2020-02-23,24,False
2020-03-01,21,False
2020-03-08,16,False
2020-03-15,13,False
2020-03-22,10,False
2020-03-29,14,False
2020-04-05,8,False
2020-04-12,12,False
2020-04-19,7,False
2020-04-26,4,False
2020-05-03,9,False
2020-05-10,9,False
2020-05-17,10,False
2020-05-24,5,False
2020-05-31,16,False
2020-06-07,14,False
2020-06-14,16,False
2020-06-21,9,False
2020-06-28,5,False
2020-07-05,12,False
2020-07-12,18,False
2020-07-19,6,False
2020-07-26,11,False
2020-08-02,16,False
2020-08-09,14,False
2020-08-16,15,False
2020-08-23,12,False
2020-08-30,22,False
2020-09-06,12,False
2020-09-13,19,False
2020-09-20,13,False
2020-09-27,15,False
2020-10-04,10,False
2020-10-11,10,False
2020-10-18,10,False
2020-10-25,9,False
2020-11-01,14,False
2020-11-08,18,False
2020-11-15,12,False
2020-11-22,12,False
2020-11-29,41,False
2020-12-06,70,False
2020-12-13,30,False
2020-12-20,21,False
2020-12-27,15,False
2021-01-03,24,False
2021-01-10,19,False
2021-01-17,9,False
2021-01-24,19,False
2021-01-31,23,False
2021-02-07,24,False
2021-02-14,11,False
2021-02-21,12,False
2021-02-28,12,False
2021-03-07,19,False
2021-03-14,20,False
2021-03-21,12,False
2021-03-28,4,False
2021-04-04,19,False
2021-04-11,15,False
2021-04-18,9,False
2021-04-25,9,False
2021-05-02,23,False
2021-05-09,10,False
2021-05-16,12,False
2021-05-23,9,False
2021-05-30,19,False
2021-06-06,14,False
2021-06-13,9,False
2021-06-20,7,False
2021-06-27,15,False
2021-07-04,18,False
2021-07-11,16,False
2021-07-18,9,False
2021-07-25,8,False
2021-08-01,17,False
2021-08-08,17,False
2021-08-15,12,False
2021-08-22,6,False
2021-08-29,4,False
2021-09-05,7,False
2021-09-12,17,False
2021-09-19,7,False
2021-09-26,20,False
2021-10-03,11,False
2021-10-10,5,False
2021-10-17,7,False
2021-10-24,9,False
2021-10-31,15,False
2021-11-07,7,False
2021-11-14,10,True
