date,Kolaka Utara,isPartial
2018-09-30,21,False
2018-10-07,28,False
2018-10-14,30,False
2018-10-21,28,False
2018-10-28,4,False
2018-11-04,16,False
2018-11-11,4,False
2018-11-18,0,False
2018-11-25,21,False
2018-12-02,17,False
2018-12-09,17,False
2018-12-16,26,False
2018-12-23,19,False
2018-12-30,28,False
2019-01-06,29,False
2019-01-13,17,False
2019-01-20,13,False
2019-01-27,13,False
2019-02-03,13,False
2019-02-10,8,False
2019-02-17,20,False
2019-02-24,8,False
2019-03-03,13,False
2019-03-10,4,False
2019-03-17,20,False
2019-03-24,12,False
2019-03-31,4,False
2019-04-07,21,False
2019-04-14,21,False
2019-04-21,8,False
2019-04-28,13,False
2019-05-05,30,False
2019-05-12,29,False
2019-05-19,8,False
2019-05-26,4,False
2019-06-02,16,False
2019-06-09,17,False
2019-06-16,0,False
2019-06-23,28,False
2019-06-30,16,False
2019-07-07,16,False
2019-07-14,8,False
2019-07-21,28,False
2019-07-28,24,False
2019-08-04,20,False
2019-08-11,12,False
2019-08-18,16,False
2019-08-25,4,False
2019-09-01,12,False
2019-09-08,30,False
2019-09-15,15,False
2019-09-22,15,False
2019-09-29,34,False
2019-10-06,11,False
2019-10-13,27,False
2019-10-20,11,False
2019-10-27,23,False
2019-11-03,15,False
2019-11-10,30,False
2019-11-17,22,False
2019-11-24,7,False
2019-12-01,7,False
2019-12-08,4,False
2019-12-15,12,False
2019-12-22,8,False
2019-12-29,4,False
2020-01-05,19,False
2020-01-12,7,False
2020-01-19,4,False
2020-01-26,4,False
2020-02-02,11,False
2020-02-09,7,False
2020-02-16,11,False
2020-02-23,11,False
2020-03-01,15,False
2020-03-08,21,False
2020-03-15,10,False
2020-03-22,19,False
2020-03-29,16,False
2020-04-05,3,False
2020-04-12,6,False
2020-04-19,7,False
2020-04-26,17,False
2020-05-03,17,False
2020-05-10,3,False
2020-05-17,7,False
2020-05-24,4,False
2020-05-31,16,False
2020-06-07,9,False
2020-06-14,7,False
2020-06-21,15,False
2020-06-28,14,False
2020-07-05,18,False
2020-07-12,14,False
2020-07-19,19,False
2020-07-26,20,False
2020-08-02,6,False
2020-08-09,9,False
2020-08-16,3,False
2020-08-23,18,False
2020-08-30,6,False
2020-09-06,12,False
2020-09-13,9,False
2020-09-20,14,False
2020-09-27,9,False
2020-10-04,12,False
2020-10-11,9,False
2020-10-18,34,False
2020-10-25,20,False
2020-11-01,15,False
2020-11-08,13,False
2020-11-15,10,False
2020-11-22,16,False
2020-11-29,9,False
2020-12-06,22,False
2020-12-13,20,False
2020-12-20,18,False
2020-12-27,11,False
2021-01-03,23,False
2021-01-10,0,False
2021-01-17,13,False
2021-01-24,23,False
2021-01-31,13,False
2021-02-07,3,False
2021-02-14,13,False
2021-02-21,16,False
2021-02-28,13,False
2021-03-07,16,False
2021-03-14,9,False
2021-03-21,25,False
2021-03-28,10,False
2021-04-04,10,False
2021-04-11,7,False
2021-04-18,16,False
2021-04-25,10,False
2021-05-02,10,False
2021-05-09,20,False
2021-05-16,11,False
2021-05-23,13,False
2021-05-30,6,False
2021-06-06,6,False
2021-06-13,20,False
2021-06-20,7,False
2021-06-27,17,False
2021-07-04,10,False
2021-07-11,27,False
2021-07-18,3,False
2021-07-25,3,False
2021-08-01,10,False
2021-08-08,10,False
2021-08-15,10,False
2021-08-22,30,False
2021-08-29,3,False
2021-09-05,20,False
2021-09-12,10,False
2021-09-19,27,False
2021-09-26,20,False
2021-10-03,7,False
2021-10-10,7,False
2021-10-17,4,False
2021-10-24,7,False
2021-10-31,13,False
2021-11-07,21,False
2021-11-14,8,True
