date,Lamandau,isPartial
2019-10-27,30,False
2019-11-03,60,False
2019-11-10,66,False
2019-11-17,87,False
2019-11-24,36,False
2019-12-01,50,False
2019-12-08,59,False
2019-12-15,54,False
2019-12-22,48,False
2019-12-29,49,False
2020-01-05,81,False
2020-01-12,56,False
2020-01-19,60,False
2020-01-26,51,False
2020-02-02,29,False
2020-02-09,65,False
2020-02-16,65,False
2020-02-23,71,False
2020-03-01,43,False
2020-03-08,56,False
2020-03-15,59,False
2020-03-22,25,False
2020-03-29,24,False
2020-04-05,31,False
2020-04-12,31,False
2020-04-19,39,False
2020-04-26,47,False
2020-05-03,53,False
2020-05-10,27,False
2020-05-17,15,False
2020-05-24,38,False
2020-05-31,12,False
2020-06-07,49,False
2020-06-14,48,False
2020-06-21,50,False
2020-06-28,63,False
2020-07-05,72,False
2020-07-12,40,False
2020-07-19,49,False
2020-07-26,39,False
2020-08-02,60,False
2020-08-09,54,False
2020-08-16,33,False
2020-08-23,78,False
2020-08-30,84,False
2020-09-06,100,False
2020-09-13,40,False
2020-09-20,61,False
2020-09-27,17,False
2020-10-04,18,False
2020-10-11,43,False
2020-10-18,37,False
2020-10-25,45,False
2020-11-01,54,False
2020-11-08,37,False
2020-11-15,37,False
2020-11-22,37,False
2020-11-29,17,False
2020-12-06,68,False
2020-12-13,32,False
2020-12-20,28,False
2020-12-27,58,False
2021-01-03,65,False
2021-01-10,32,False
2021-01-17,13,False
2021-01-24,32,False
2021-01-31,26,False
2021-02-07,26,False
2021-02-14,39,False
2021-02-21,19,False
2021-02-28,18,False
2021-03-07,19,False
2021-03-14,39,False
2021-03-21,31,False
2021-03-28,46,False
2021-04-04,26,False
2021-04-11,53,False
2021-04-18,26,False
2021-04-25,39,False
2021-05-02,61,False
2021-05-09,16,False
2021-05-16,49,False
2021-05-23,26,False
2021-05-30,44,False
2021-06-06,54,False
2021-06-13,32,False
2021-06-20,41,False
2021-06-27,59,False
2021-07-04,48,False
2021-07-11,67,False
2021-07-18,41,False
2021-07-25,62,False
2021-08-01,31,False
2021-08-08,44,False
2021-08-15,31,False
2021-08-22,19,False
2021-08-29,38,False
2021-09-05,33,False
2021-09-12,45,False
2021-09-19,26,False
2021-09-26,67,False
2021-10-03,60,False
2021-10-10,27,False
2021-10-17,49,False
2021-10-24,33,False
2021-10-31,20,False
2021-11-07,20,False
2021-11-14,46,True
