date,Lampung Utara,isPartial
2021-04-11,13,False
2021-04-18,14,False
2021-04-25,20,False
2021-05-02,21,False
2021-05-09,11,False
2021-05-16,21,False
2021-05-23,14,False
2021-05-30,22,False
2021-06-06,21,False
2021-06-13,13,False
2021-06-20,13,False
2021-06-27,21,False
2021-07-04,16,False
2021-07-11,16,False
2021-07-18,10,False
2021-07-25,16,False
2021-08-01,14,False
2021-08-08,17,False
2021-08-15,16,False
2021-08-22,11,False
2021-08-29,19,False
2021-09-05,24,False
2021-09-12,22,False
2021-09-19,15,False
2021-09-26,10,False
2021-10-03,12,False
2021-10-10,21,False
2021-10-17,18,False
2021-10-24,15,False
2021-10-31,12,False
2021-11-07,20,False
2021-11-14,21,True
