date,Padang Lawas Utara,isPartial
2020-02-23,22,False
2020-03-01,65,False
2020-03-08,21,False
2020-03-15,40,False
2020-03-22,19,False
2020-03-29,9,False
2020-04-05,9,False
2020-04-12,19,False
2020-04-19,20,False
2020-04-26,51,False
2020-05-03,20,False
2020-05-10,0,False
2020-05-17,67,False
2020-05-24,34,False
2020-05-31,38,False
2020-06-07,9,False
2020-06-14,52,False
2020-06-21,65,False
2020-06-28,21,False
2020-07-05,22,False
2020-07-12,31,False
2020-07-19,56,False
2020-07-26,20,False
2020-08-02,55,False
2020-08-09,18,False
2020-08-16,30,False
2020-08-23,37,False
2020-08-30,28,False
2020-09-06,18,False
2020-09-13,9,False
2020-09-20,34,False
2020-09-27,27,False
2020-10-04,46,False
2020-10-11,9,False
2020-10-18,19,False
2020-10-25,10,False
2020-11-01,0,False
2020-11-08,19,False
2020-11-15,10,False
2020-11-22,9,False
2020-11-29,26,False
2020-12-06,28,False
2020-12-13,0,False
2020-12-20,32,False
2020-12-27,11,False
2021-01-03,0,False
2021-01-10,10,False
2021-01-17,30,False
2021-01-24,49,False
2021-01-31,10,False
2021-02-07,10,False
2021-02-14,0,False
2021-02-21,10,False
2021-02-28,37,False
2021-03-07,19,False
2021-03-14,34,False
2021-03-21,47,False
2021-03-28,10,False
2021-04-04,20,False
2021-04-11,81,False
2021-04-18,10,False
2021-04-25,10,False
2021-05-02,0,False
2021-05-09,36,False
2021-05-16,42,False
2021-05-23,50,False
2021-05-30,29,False
2021-06-06,18,False
2021-06-13,20,False
2021-06-20,31,False
2021-06-27,30,False
2021-07-04,31,False
2021-07-11,71,False
2021-07-18,42,False
2021-07-25,38,False
2021-08-01,19,False
2021-08-08,38,False
2021-08-15,9,False
2021-08-22,20,False
2021-08-29,29,False
2021-09-05,20,False
2021-09-12,10,False
2021-09-19,30,False
2021-09-26,31,False
2021-10-03,31,False
2021-10-10,21,False
2021-10-17,21,False
2021-10-24,20,False
2021-10-31,50,False
2021-11-07,10,False
2021-11-14,23,True
