date,Pagar Alam,isPartial
2020-03-29,16,False
2020-04-05,25,False
2020-04-12,32,False
2020-04-19,28,False
2020-04-26,29,False
2020-05-03,11,False
2020-05-10,14,False
2020-05-17,21,False
2020-05-24,25,False
2020-05-31,18,False
2020-06-07,20,False
2020-06-14,28,False
2020-06-21,26,False
2020-06-28,29,False
2020-07-05,27,False
2020-07-12,22,False
2020-07-19,24,False
2020-07-26,28,False
2020-08-02,25,False
2020-08-09,39,False
2020-08-16,35,False
2020-08-23,26,False
2020-08-30,20,False
2020-09-06,20,False
2020-09-13,24,False
2020-09-20,31,False
2020-09-27,24,False
2020-10-04,23,False
2020-10-11,24,False
2020-10-18,39,False
2020-10-25,39,False
2020-11-01,26,False
2020-11-08,34,False
2020-11-15,28,False
2020-11-22,30,False
2020-11-29,47,False
2020-12-06,43,False
2020-12-13,30,False
2020-12-20,48,False
2020-12-27,37,False
2021-01-03,23,False
2021-01-10,20,False
2021-01-17,19,False
2021-01-24,30,False
2021-01-31,28,False
2021-02-07,32,False
2021-02-14,30,False
2021-02-21,11,False
2021-02-28,28,False
2021-03-07,22,False
2021-03-14,19,False
2021-03-21,25,False
2021-03-28,23,False
2021-04-04,25,False
2021-04-11,20,False
2021-04-18,28,False
2021-04-25,25,False
2021-05-02,15,False
2021-05-09,22,False
2021-05-16,27,False
2021-05-23,24,False
2021-05-30,29,False
2021-06-06,40,False
2021-06-13,25,False
2021-06-20,25,False
2021-06-27,28,False
2021-07-04,15,False
2021-07-11,30,False
2021-07-18,28,False
2021-07-25,25,False
2021-08-01,17,False
2021-08-08,24,False
2021-08-15,20,False
2021-08-22,18,False
2021-08-29,20,False
2021-09-05,27,False
2021-09-12,18,False
2021-09-19,24,False
2021-09-26,29,False
2021-10-03,27,False
2021-10-10,41,False
2021-10-17,27,False
2021-10-24,18,False
2021-10-31,23,False
2021-11-07,20,False
2021-11-14,14,True
