date,Lahat,isPartial
2018-11-25,36,False
2018-12-02,35,False
2018-12-09,49,False
2018-12-16,44,False
2018-12-23,49,False
2018-12-30,37,False
2019-01-06,43,False
2019-01-13,41,False
2019-01-20,46,False
2019-01-27,41,False
2019-02-03,52,False
2019-02-10,37,False
2019-02-17,38,False
2019-02-24,46,False
2019-03-03,43,False
2019-03-10,30,False
2019-03-17,32,False
2019-03-24,36,False
2019-03-31,34,False
2019-04-07,32,False
2019-04-14,37,False
2019-04-21,49,False
2019-04-28,60,False
2019-05-05,42,False
2019-05-12,47,False
2019-05-19,40,False
2019-05-26,51,False
2019-06-02,64,False
2019-06-09,65,False
2019-06-16,36,False
2019-06-23,57,False
2019-06-30,56,False
2019-07-07,48,False
2019-07-14,40,False
2019-07-21,39,False
2019-07-28,39,False
2019-08-04,44,False
2019-08-11,54,False
2019-08-18,44,False
2019-08-25,42,False
2019-09-01,34,False
2019-09-08,42,False
2019-09-15,48,False
2019-09-22,32,False
2019-09-29,31,False
2019-10-06,34,False
2019-10-13,49,False
2019-10-20,46,False
2019-10-27,47,False
2019-11-03,44,False
2019-11-10,53,False
2019-11-17,54,False
2019-11-24,46,False
2019-12-01,42,False
2019-12-08,57,False
2019-12-15,71,False
2019-12-22,83,False
2019-12-29,65,False
2020-01-05,54,False
2020-01-12,49,False
2020-01-19,53,False
2020-01-26,39,False
2020-02-02,43,False
2020-02-09,51,False
2020-02-16,53,False
2020-02-23,53,False
2020-03-01,34,False
2020-03-08,33,False
2020-03-15,43,False
2020-03-22,38,False
2020-03-29,25,False
2020-04-05,29,False
2020-04-12,37,False
2020-04-19,45,False
2020-04-26,32,False
2020-05-03,33,False
2020-05-10,30,False
2020-05-17,24,False
2020-05-24,25,False
2020-05-31,28,False
2020-06-07,44,False
2020-06-14,31,False
2020-06-21,30,False
2020-06-28,42,False
2020-07-05,38,False
2020-07-12,40,False
2020-07-19,29,False
2020-07-26,34,False
2020-08-02,31,False
2020-08-09,33,False
2020-08-16,44,False
2020-08-23,51,False
2020-08-30,54,False
2020-09-06,41,False
2020-09-13,38,False
2020-09-20,34,False
2020-09-27,46,False
2020-10-04,41,False
2020-10-11,27,False
2020-10-18,44,False
2020-10-25,35,False
2020-11-01,34,False
2020-11-08,42,False
2020-11-15,34,False
2020-11-22,30,False
2020-11-29,44,False
2020-12-06,38,False
2020-12-13,35,False
2020-12-20,32,False
2020-12-27,42,False
2021-01-03,35,False
2021-01-10,33,False
2021-01-17,40,False
2021-01-24,26,False
2021-01-31,35,False
2021-02-07,37,False
2021-02-14,33,False
2021-02-21,30,False
2021-02-28,32,False
2021-03-07,40,False
2021-03-14,35,False
2021-03-21,27,False
2021-03-28,33,False
2021-04-04,33,False
2021-04-11,37,False
2021-04-18,44,False
2021-04-25,36,False
2021-05-02,36,False
2021-05-09,29,False
2021-05-16,32,False
2021-05-23,43,False
2021-05-30,38,False
2021-06-06,33,False
2021-06-13,29,False
2021-06-20,28,False
2021-06-27,30,False
2021-07-04,46,False
2021-07-11,38,False
2021-07-18,32,False
2021-07-25,35,False
2021-08-01,34,False
2021-08-08,32,False
2021-08-15,39,False
2021-08-22,39,False
2021-08-29,31,False
2021-09-05,34,False
2021-09-12,34,False
2021-09-19,34,False
2021-09-26,34,False
2021-10-03,38,False
2021-10-10,38,False
2021-10-17,50,False
2021-10-24,29,False
2021-10-31,70,False
2021-11-07,47,False
2021-11-14,33,True
