date,Lubuklinggau,isPartial
2020-07-05,61,False
2020-07-12,41,False
2020-07-19,29,False
2020-07-26,45,False
2020-08-02,38,False
2020-08-09,51,False
2020-08-16,54,False
2020-08-23,34,False
2020-08-30,49,False
2020-09-06,45,False
2020-09-13,43,False
2020-09-20,35,False
2020-09-27,39,False
2020-10-04,36,False
2020-10-11,31,False
2020-10-18,38,False
2020-10-25,42,False
2020-11-01,44,False
2020-11-08,36,False
2020-11-15,46,False
2020-11-22,56,False
2020-11-29,38,False
2020-12-06,34,False
2020-12-13,37,False
2020-12-20,45,False
2020-12-27,57,False
2021-01-03,55,False
2021-01-10,48,False
2021-01-17,34,False
2021-01-24,34,False
2021-01-31,56,False
2021-02-07,63,False
2021-02-14,39,False
2021-02-21,38,False
2021-02-28,29,False
2021-03-07,41,False
2021-03-14,40,False
2021-03-21,53,False
2021-03-28,62,False
2021-04-04,62,False
2021-04-11,72,False
2021-04-18,41,False
2021-04-25,66,False
2021-05-02,52,False
2021-05-09,42,False
2021-05-16,51,False
2021-05-23,62,False
2021-05-30,57,False
2021-06-06,43,False
2021-06-13,49,False
2021-06-20,38,False
2021-06-27,62,False
2021-07-04,49,False
2021-07-11,48,False
2021-07-18,52,False
2021-07-25,42,False
2021-08-01,34,False
2021-08-08,31,False
2021-08-15,38,False
2021-08-22,57,False
2021-08-29,53,False
2021-09-05,33,False
2021-09-12,41,False
2021-09-19,43,False
2021-09-26,54,False
2021-10-03,33,False
2021-10-10,49,False
2021-10-17,57,False
2021-10-24,59,False
2021-10-31,49,False
2021-11-07,45,False
2021-11-14,55,True
