date,Lombok Tengah,isPartial
2019-01-13,17,False
2019-01-20,21,False
2019-01-27,17,False
2019-02-03,21,False
2019-02-10,43,False
2019-02-17,27,False
2019-02-24,13,False
2019-03-03,14,False
2019-03-10,18,False
2019-03-17,10,False
2019-03-24,17,False
2019-03-31,30,False
2019-04-07,22,False
2019-04-14,28,False
2019-04-21,31,False
2019-04-28,30,False
2019-05-05,36,False
2019-05-12,34,False
2019-05-19,24,False
2019-05-26,30,False
2019-06-02,13,False
2019-06-09,26,False
2019-06-16,28,False
2019-06-23,36,False
2019-06-30,30,False
2019-07-07,33,False
2019-07-14,19,False
2019-07-21,10,False
2019-07-28,26,False
2019-08-04,17,False
2019-08-11,30,False
2019-08-18,18,False
2019-08-25,36,False
2019-09-01,24,False
2019-09-08,34,False
2019-09-15,23,False
2019-09-22,14,False
2019-09-29,25,False
2019-10-06,26,False
2019-10-13,33,False
2019-10-20,33,False
2019-10-27,31,False
2019-11-03,19,False
2019-11-10,41,False
2019-11-17,36,False
2019-11-24,32,False
2019-12-01,18,False
2019-12-08,26,False
2019-12-15,48,False
2019-12-22,28,False
2019-12-29,32,False
2020-01-05,34,False
2020-01-12,39,False
2020-01-19,47,False
2020-01-26,32,False
2020-02-02,29,False
2020-02-09,27,False
2020-02-16,46,False
2020-02-23,24,False
2020-03-01,19,False
2020-03-08,28,False
2020-03-15,33,False
2020-03-22,41,False
2020-03-29,18,False
2020-04-05,23,False
2020-04-12,18,False
2020-04-19,16,False
2020-04-26,34,False
2020-05-03,28,False
2020-05-10,35,False
2020-05-17,18,False
2020-05-24,22,False
2020-05-31,29,False
2020-06-07,27,False
2020-06-14,34,False
2020-06-21,18,False
2020-06-28,38,False
2020-07-05,24,False
2020-07-12,28,False
2020-07-19,18,False
2020-07-26,35,False
2020-08-02,19,False
2020-08-09,32,False
2020-08-16,32,False
2020-08-23,30,False
2020-08-30,30,False
2020-09-06,23,False
2020-09-13,19,False
2020-09-20,25,False
2020-09-27,16,False
2020-10-04,23,False
2020-10-11,36,False
2020-10-18,42,False
2020-10-25,48,False
2020-11-01,17,False
2020-11-08,35,False
2020-11-15,20,False
2020-11-22,35,False
2020-11-29,33,False
2020-12-06,100,False
2020-12-13,39,False
2020-12-20,16,False
2020-12-27,26,False
2021-01-03,48,False
2021-01-10,27,False
2021-01-17,39,False
2021-01-24,34,False
2021-01-31,35,False
2021-02-07,37,False
2021-02-14,30,False
2021-02-21,31,False
2021-02-28,27,False
2021-03-07,35,False
2021-03-14,33,False
2021-03-21,27,False
2021-03-28,45,False
2021-04-04,24,False
2021-04-11,49,False
2021-04-18,24,False
2021-04-25,41,False
2021-05-02,36,False
2021-05-09,21,False
2021-05-16,36,False
2021-05-23,45,False
2021-05-30,44,False
2021-06-06,37,False
2021-06-13,34,False
2021-06-20,37,False
2021-06-27,30,False
2021-07-04,27,False
2021-07-11,21,False
2021-07-18,24,False
2021-07-25,25,False
2021-08-01,34,False
2021-08-08,14,False
2021-08-15,17,False
2021-08-22,23,False
2021-08-29,37,False
2021-09-05,18,False
2021-09-12,24,False
2021-09-19,30,False
2021-09-26,32,False
2021-10-03,36,False
2021-10-10,27,False
2021-10-17,21,False
2021-10-24,36,False
2021-10-31,22,False
2021-11-07,29,False
2021-11-14,29,True
