date,Majalengka,isPartial
2020-08-30,48,False
2020-09-06,50,False
2020-09-13,46,False
2020-09-20,41,False
2020-09-27,42,False
2020-10-04,43,False
2020-10-11,43,False
2020-10-18,52,False
2020-10-25,49,False
2020-11-01,51,False
2020-11-08,49,False
2020-11-15,55,False
2020-11-22,50,False
2020-11-29,42,False
2020-12-06,50,False
2020-12-13,56,False
2020-12-20,50,False
2020-12-27,65,False
2021-01-03,56,False
2021-01-10,45,False
2021-01-17,44,False
2021-01-24,46,False
2021-01-31,71,False
2021-02-07,71,False
2021-02-14,54,False
2021-02-21,54,False
2021-02-28,57,False
2021-03-07,50,False
2021-03-14,45,False
2021-03-21,48,False
2021-03-28,58,False
2021-04-04,58,False
2021-04-11,61,False
2021-04-18,41,False
2021-04-25,54,False
2021-05-02,54,False
2021-05-09,68,False
2021-05-16,81,False
2021-05-23,59,False
2021-05-30,68,False
2021-06-06,55,False
2021-06-13,64,False
2021-06-20,49,False
2021-06-27,53,False
2021-07-04,46,False
2021-07-11,48,False
2021-07-18,46,False
2021-07-25,49,False
2021-08-01,44,False
2021-08-08,47,False
2021-08-15,54,False
2021-08-22,48,False
2021-08-29,54,False
2021-09-05,51,False
2021-09-12,48,False
2021-09-19,53,False
2021-09-26,50,False
2021-10-03,65,False
2021-10-10,54,False
2021-10-17,54,False
2021-10-24,62,False
2021-10-31,56,False
2021-11-07,58,False
2021-11-14,48,True
