date,Pacitan,isPartial
2021-08-01,13,False
2021-08-08,13,False
2021-08-15,14,False
2021-08-22,14,False
2021-08-29,13,False
2021-09-05,13,False
2021-09-12,20,False
2021-09-19,16,False
2021-09-26,14,False
2021-10-03,14,False
2021-10-10,16,False
2021-10-17,15,False
2021-10-24,12,False
2021-10-31,13,False
2021-11-07,13,False
2021-11-14,16,True
