date,Konawe Selatan,isPartial
2020-02-23,0,False
2020-03-01,27,False
2020-03-08,33,False
2020-03-15,12,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,6,False
2020-04-12,24,False
2020-04-19,25,False
2020-04-26,19,False
2020-05-03,25,False
2020-05-10,19,False
2020-05-17,14,False
2020-05-24,7,False
2020-05-31,24,False
2020-06-07,12,False
2020-06-14,39,False
2020-06-21,7,False
2020-06-28,20,False
2020-07-05,21,False
2020-07-12,25,False
2020-07-19,18,False
2020-07-26,12,False
2020-08-02,23,False
2020-08-09,45,False
2020-08-16,13,False
2020-08-23,29,False
2020-08-30,6,False
2020-09-06,6,False
2020-09-13,16,False
2020-09-20,11,False
2020-09-27,11,False
2020-10-04,11,False
2020-10-11,18,False
2020-10-18,6,False
2020-10-25,19,False
2020-11-01,40,False
2020-11-08,18,False
2020-11-15,36,False
2020-11-22,29,False
2020-11-29,27,False
2020-12-06,100,False
2020-12-13,62,False
2020-12-20,20,False
2020-12-27,28,False
2021-01-03,0,False
2021-01-10,37,False
2021-01-17,19,False
2021-01-24,18,False
2021-01-31,0,False
2021-02-07,12,False
2021-02-14,25,False
2021-02-21,30,False
2021-02-28,41,False
2021-03-07,18,False
2021-03-14,5,False
2021-03-21,18,False
2021-03-28,44,False
2021-04-04,18,False
2021-04-11,13,False
2021-04-18,0,False
2021-04-25,25,False
2021-05-02,26,False
2021-05-09,22,False
2021-05-16,33,False
2021-05-23,12,False
2021-05-30,24,False
2021-06-06,34,False
2021-06-13,12,False
2021-06-20,26,False
2021-06-27,38,False
2021-07-04,52,False
2021-07-11,64,False
2021-07-18,32,False
2021-07-25,23,False
2021-08-01,30,False
2021-08-08,18,False
2021-08-15,12,False
2021-08-22,31,False
2021-08-29,36,False
2021-09-05,31,False
2021-09-12,25,False
2021-09-19,6,False
2021-09-26,19,False
2021-10-03,13,False
2021-10-10,39,False
2021-10-17,7,False
2021-10-24,19,False
2021-10-31,19,False
2021-11-07,13,False
2021-11-14,22,True
