date,Ogan Komering Ulu Timur,isPartial
2019-09-29,0,False
2019-10-06,23,False
2019-10-13,46,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,46,False
2019-11-10,67,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,0,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,46,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,44,False
2020-02-16,22,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,43,False
2020-03-15,60,False
2020-03-22,39,False
2020-03-29,0,False
2020-04-05,57,False
2020-04-12,38,False
2020-04-19,40,False
2020-04-26,20,False
2020-05-03,20,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,23,False
2020-05-31,19,False
2020-06-07,56,False
2020-06-14,21,False
2020-06-21,0,False
2020-06-28,86,False
2020-07-05,22,False
2020-07-12,0,False
2020-07-19,38,False
2020-07-26,60,False
2020-08-02,37,False
2020-08-09,0,False
2020-08-16,0,False
2020-08-23,0,False
2020-08-30,18,False
2020-09-06,18,False
2020-09-13,35,False
2020-09-20,17,False
2020-09-27,18,False
2020-10-04,18,False
2020-10-11,19,False
2020-10-18,19,False
2020-10-25,0,False
2020-11-01,55,False
2020-11-08,0,False
2020-11-15,38,False
2020-11-22,0,False
2020-11-29,0,False
2020-12-06,19,False
2020-12-13,0,False
2020-12-20,22,False
2020-12-27,0,False
2021-01-03,40,False
2021-01-10,0,False
2021-01-17,0,False
2021-01-24,0,False
2021-01-31,98,False
2021-02-07,40,False
2021-02-14,59,False
2021-02-21,57,False
2021-02-28,0,False
2021-03-07,19,False
2021-03-14,17,False
2021-03-21,38,False
2021-03-28,20,False
2021-04-04,39,False
2021-04-11,0,False
2021-04-18,0,False
2021-04-25,20,False
2021-05-02,21,False
2021-05-09,0,False
2021-05-16,21,False
2021-05-23,0,False
2021-05-30,39,False
2021-06-06,18,False
2021-06-13,20,False
2021-06-20,21,False
2021-06-27,20,False
2021-07-04,42,False
2021-07-11,61,False
2021-07-18,21,False
2021-07-25,0,False
2021-08-01,0,False
2021-08-08,19,False
2021-08-15,0,False
2021-08-22,39,False
2021-08-29,0,False
2021-09-05,0,False
2021-09-12,20,False
2021-09-19,0,False
2021-09-26,20,False
2021-10-03,20,False
2021-10-10,42,False
2021-10-17,0,False
2021-10-24,40,False
2021-10-31,20,False
2021-11-07,21,False
2021-11-14,0,True
