date,Kotawaringin Barat,isPartial
2021-08-15,38,False
2021-08-22,27,False
2021-08-29,40,False
2021-09-05,48,False
2021-09-12,20,False
2021-09-19,14,False
2021-09-26,41,False
2021-10-03,28,False
2021-10-10,43,False
2021-10-17,36,False
2021-10-24,48,False
2021-10-31,0,False
2021-11-07,78,False
2021-11-14,24,True
