date,Kapuas,isPartial
2021-06-06,53,False
2021-06-13,44,False
2021-06-20,40,False
2021-06-27,56,False
2021-07-04,61,False
2021-07-11,41,False
2021-07-18,55,False
2021-07-25,52,False
2021-08-01,68,False
2021-08-08,59,False
2021-08-15,48,False
2021-08-22,38,False
2021-08-29,42,False
2021-09-05,43,False
2021-09-12,53,False
2021-09-19,53,False
2021-09-26,68,False
2021-10-03,53,False
2021-10-10,58,False
2021-10-17,45,False
2021-10-24,57,False
2021-10-31,35,False
2021-11-07,45,False
2021-11-14,45,True
