date,Kolaka,isPartial
2019-06-23,31,False
2019-06-30,40,False
2019-07-07,41,False
2019-07-14,38,False
2019-07-21,21,False
2019-07-28,31,False
2019-08-04,34,False
2019-08-11,26,False
2019-08-18,31,False
2019-08-25,35,False
2019-09-01,24,False
2019-09-08,33,False
2019-09-15,18,False
2019-09-22,37,False
2019-09-29,29,False
2019-10-06,19,False
2019-10-13,31,False
2019-10-20,27,False
2019-10-27,28,False
2019-11-03,34,False
2019-11-10,29,False
2019-11-17,41,False
2019-11-24,24,False
2019-12-01,26,False
2019-12-08,28,False
2019-12-15,33,False
2019-12-22,20,False
2019-12-29,17,False
2020-01-05,31,False
2020-01-12,36,False
2020-01-19,39,False
2020-01-26,35,False
2020-02-02,27,False
2020-02-09,36,False
2020-02-16,35,False
2020-02-23,35,False
2020-03-01,26,False
2020-03-08,37,False
2020-03-15,20,False
2020-03-22,100,False
2020-03-29,33,False
2020-04-05,20,False
2020-04-12,15,False
2020-04-19,26,False
2020-04-26,27,False
2020-05-03,22,False
2020-05-10,27,False
2020-05-17,24,False
2020-05-24,23,False
2020-05-31,25,False
2020-06-07,16,False
2020-06-14,19,False
2020-06-21,32,False
2020-06-28,26,False
2020-07-05,28,False
2020-07-12,15,False
2020-07-19,43,False
2020-07-26,38,False
2020-08-02,24,False
2020-08-09,25,False
2020-08-16,23,False
2020-08-23,40,False
2020-08-30,33,False
2020-09-06,33,False
2020-09-13,34,False
2020-09-20,27,False
2020-09-27,29,False
2020-10-04,24,False
2020-10-11,27,False
2020-10-18,20,False
2020-10-25,27,False
2020-11-01,22,False
2020-11-08,23,False
2020-11-15,28,False
2020-11-22,24,False
2020-11-29,24,False
2020-12-06,33,False
2020-12-13,32,False
2020-12-20,42,False
2020-12-27,22,False
2021-01-03,34,False
2021-01-10,25,False
2021-01-17,26,False
2021-01-24,27,False
2021-01-31,40,False
2021-02-07,36,False
2021-02-14,22,False
2021-02-21,36,False
2021-02-28,35,False
2021-03-07,34,False
2021-03-14,43,False
2021-03-21,43,False
2021-03-28,34,False
2021-04-04,38,False
2021-04-11,25,False
2021-04-18,24,False
2021-04-25,34,False
2021-05-02,22,False
2021-05-09,19,False
2021-05-16,25,False
2021-05-23,29,False
2021-05-30,17,False
2021-06-06,28,False
2021-06-13,26,False
2021-06-20,38,False
2021-06-27,45,False
2021-07-04,40,False
2021-07-11,25,False
2021-07-18,19,False
2021-07-25,35,False
2021-08-01,16,False
2021-08-08,26,False
2021-08-15,32,False
2021-08-22,36,False
2021-08-29,30,False
2021-09-05,16,False
2021-09-12,28,False
2021-09-19,70,False
2021-09-26,41,False
2021-10-03,27,False
2021-10-10,31,False
2021-10-17,31,False
2021-10-24,28,False
2021-10-31,21,False
2021-11-07,26,False
2021-11-14,27,True
