date,Maybrat,isPartial
2020-07-26,49,False
2020-08-02,12,False
2020-08-09,4,False
2020-08-16,9,False
2020-08-23,0,False
2020-08-30,12,False
2020-09-06,0,False
2020-09-13,0,False
2020-09-20,11,False
2020-09-27,4,False
2020-10-04,8,False
2020-10-11,0,False
2020-10-18,0,False
2020-10-25,0,False
2020-11-01,0,False
2020-11-08,0,False
2020-11-15,0,False
2020-11-22,0,False
2020-11-29,4,False
2020-12-06,8,False
2020-12-13,18,False
2020-12-20,10,False
2020-12-27,0,False
2021-01-03,0,False
2021-01-10,4,False
2021-01-17,9,False
2021-01-24,4,False
2021-01-31,0,False
2021-02-07,0,False
2021-02-14,4,False
2021-02-21,0,False
2021-02-28,4,False
2021-03-07,13,False
2021-03-14,0,False
2021-03-21,4,False
2021-03-28,0,False
2021-04-04,9,False
2021-04-11,5,False
2021-04-18,4,False
2021-04-25,0,False
2021-05-02,5,False
2021-05-09,5,False
2021-05-16,5,False
2021-05-23,4,False
2021-05-30,4,False
2021-06-06,21,False
2021-06-13,0,False
2021-06-20,0,False
2021-06-27,9,False
2021-07-04,46,False
2021-07-11,73,False
2021-07-18,14,False
2021-07-25,8,False
2021-08-01,4,False
2021-08-08,0,False
2021-08-15,13,False
2021-08-22,4,False
2021-08-29,100,False
2021-09-05,63,False
2021-09-12,22,False
2021-09-19,13,False
2021-09-26,14,False
2021-10-03,9,False
2021-10-10,14,False
2021-10-17,0,False
2021-10-24,9,False
2021-10-31,9,False
2021-11-07,5,False
2021-11-14,0,True
