date,Kutai Barat,isPartial
2018-08-19,30,False
2018-08-26,33,False
2018-09-02,17,False
2018-09-09,17,False
2018-09-16,47,False
2018-09-23,48,False
2018-09-30,16,False
2018-10-07,20,False
2018-10-14,28,False
2018-10-21,35,False
2018-10-28,23,False
2018-11-04,24,False
2018-11-11,24,False
2018-11-18,25,False
2018-11-25,28,False
2018-12-02,25,False
2018-12-09,4,False
2018-12-16,8,False
2018-12-23,18,False
2018-12-30,13,False
2019-01-06,16,False
2019-01-13,53,False
2019-01-20,45,False
2019-01-27,32,False
2019-02-03,20,False
2019-02-10,39,False
2019-02-17,35,False
2019-02-24,20,False
2019-03-03,37,False
2019-03-10,43,False
2019-03-17,35,False
2019-03-24,31,False
2019-03-31,33,False
2019-04-07,37,False
2019-04-14,41,False
2019-04-21,32,False
2019-04-28,25,False
2019-05-05,41,False
2019-05-12,44,False
2019-05-19,4,False
2019-05-26,33,False
2019-06-02,15,False
2019-06-09,8,False
2019-06-16,51,False
2019-06-23,19,False
2019-06-30,32,False
2019-07-07,20,False
2019-07-14,8,False
2019-07-21,39,False
2019-07-28,23,False
2019-08-04,24,False
2019-08-11,40,False
2019-08-18,31,False
2019-08-25,31,False
2019-09-01,30,False
2019-09-08,22,False
2019-09-15,47,False
2019-09-22,29,False
2019-09-29,52,False
2019-10-06,44,False
2019-10-13,22,False
2019-10-20,32,False
2019-10-27,25,False
2019-11-03,29,False
2019-11-10,32,False
2019-11-17,25,False
2019-11-24,36,False
2019-12-01,50,False
2019-12-08,25,False
2019-12-15,23,False
2019-12-22,8,False
2019-12-29,16,False
2020-01-05,44,False
2020-01-12,31,False
2020-01-19,26,False
2020-01-26,22,False
2020-02-02,29,False
2020-02-09,25,False
2020-02-16,32,False
2020-02-23,39,False
2020-03-01,28,False
2020-03-08,17,False
2020-03-15,35,False
2020-03-22,62,False
2020-03-29,63,False
2020-04-05,39,False
2020-04-12,61,False
2020-04-19,45,False
2020-04-26,33,False
2020-05-03,39,False
2020-05-10,50,False
2020-05-17,18,False
2020-05-24,48,False
2020-05-31,64,False
2020-06-07,81,False
2020-06-14,27,False
2020-06-21,38,False
2020-06-28,41,False
2020-07-05,39,False
2020-07-12,40,False
2020-07-19,27,False
2020-07-26,29,False
2020-08-02,51,False
2020-08-09,26,False
2020-08-16,23,False
2020-08-23,24,False
2020-08-30,48,False
2020-09-06,26,False
2020-09-13,31,False
2020-09-20,41,False
2020-09-27,31,False
2020-10-04,27,False
2020-10-11,18,False
2020-10-18,45,False
2020-10-25,22,False
2020-11-01,35,False
2020-11-08,27,False
2020-11-15,46,False
2020-11-22,45,False
2020-11-29,86,False
2020-12-06,94,False
2020-12-13,29,False
2020-12-20,35,False
2020-12-27,14,False
2021-01-03,23,False
2021-01-10,32,False
2021-01-17,26,False
2021-01-24,51,False
2021-01-31,38,False
2021-02-07,100,False
2021-02-14,51,False
2021-02-21,31,False
2021-02-28,36,False
2021-03-07,37,False
2021-03-14,41,False
2021-03-21,24,False
2021-03-28,61,False
2021-04-04,70,False
2021-04-11,66,False
2021-04-18,41,False
2021-04-25,61,False
2021-05-02,44,False
2021-05-09,23,False
2021-05-16,48,False
2021-05-23,42,False
2021-05-30,50,False
2021-06-06,54,False
2021-06-13,41,False
2021-06-20,37,False
2021-06-27,45,False
2021-07-04,47,False
2021-07-11,26,False
2021-07-18,27,False
2021-07-25,33,False
2021-08-01,28,False
2021-08-08,31,False
2021-08-15,27,False
2021-08-22,25,False
2021-08-29,31,False
2021-09-05,29,False
2021-09-12,29,False
2021-09-19,32,False
2021-09-26,30,False
2021-10-03,23,False
2021-10-10,41,False
2021-10-17,14,False
2021-10-24,49,False
2021-10-31,19,False
2021-11-07,30,False
2021-11-14,38,True
