date,Melawi,isPartial
2019-12-22,9,False
2019-12-29,23,False
2020-01-05,21,False
2020-01-12,23,False
2020-01-19,29,False
2020-01-26,16,False
2020-02-02,37,False
2020-02-09,44,False
2020-02-16,36,False
2020-02-23,36,False
2020-03-01,36,False
2020-03-08,23,False
2020-03-15,33,False
2020-03-22,35,False
2020-03-29,17,False
2020-04-05,31,False
2020-04-12,42,False
2020-04-19,33,False
2020-04-26,22,False
2020-05-03,41,False
2020-05-10,19,False
2020-05-17,16,False
2020-05-24,25,False
2020-05-31,48,False
2020-06-07,20,False
2020-06-14,45,False
2020-06-21,16,False
2020-06-28,51,False
2020-07-05,36,False
2020-07-12,56,False
2020-07-19,31,False
2020-07-26,33,False
2020-08-02,23,False
2020-08-09,20,False
2020-08-16,26,False
2020-08-23,33,False
2020-08-30,13,False
2020-09-06,42,False
2020-09-13,39,False
2020-09-20,25,False
2020-09-27,35,False
2020-10-04,17,False
2020-10-11,55,False
2020-10-18,31,False
2020-10-25,33,False
2020-11-01,20,False
2020-11-08,34,False
2020-11-15,28,False
2020-11-22,44,False
2020-11-29,19,False
2020-12-06,100,False
2020-12-13,47,False
2020-12-20,35,False
2020-12-27,20,False
2021-01-03,40,False
2021-01-10,36,False
2021-01-17,29,False
2021-01-24,39,False
2021-01-31,36,False
2021-02-07,26,False
2021-02-14,32,False
2021-02-21,21,False
2021-02-28,31,False
2021-03-07,17,False
2021-03-14,28,False
2021-03-21,48,False
2021-03-28,22,False
2021-04-04,22,False
2021-04-11,33,False
2021-04-18,25,False
2021-04-25,18,False
2021-05-02,27,False
2021-05-09,17,False
2021-05-16,27,False
2021-05-23,29,False
2021-05-30,14,False
2021-06-06,34,False
2021-06-13,47,False
2021-06-20,11,False
2021-06-27,40,False
2021-07-04,27,False
2021-07-11,22,False
2021-07-18,27,False
2021-07-25,14,False
2021-08-01,21,False
2021-08-08,24,False
2021-08-15,21,False
2021-08-22,47,False
2021-08-29,43,False
2021-09-05,26,False
2021-09-12,43,False
2021-09-19,22,False
2021-09-26,19,False
2021-10-03,26,False
2021-10-10,8,False
2021-10-17,23,False
2021-10-24,26,False
2021-10-31,37,False
2021-11-07,19,False
2021-11-14,43,True
