date,Labuhan Batu Utara,isPartial
2021-09-12,22,False
2021-09-19,37,False
2021-09-26,23,False
2021-10-03,8,False
2021-10-10,31,False
2021-10-17,8,False
2021-10-24,23,False
2021-10-31,23,False
2021-11-07,23,False
2021-11-14,26,True
