date,Kaur,isPartial
2019-02-03,45,False
2019-02-10,24,False
2019-02-17,47,False
2019-02-24,42,False
2019-03-03,51,False
2019-03-10,15,False
2019-03-17,37,False
2019-03-24,42,False
2019-03-31,37,False
2019-04-07,43,False
2019-04-14,38,False
2019-04-21,48,False
2019-04-28,39,False
2019-05-05,33,False
2019-05-12,50,False
2019-05-19,30,False
2019-05-26,37,False
2019-06-02,25,False
2019-06-09,43,False
2019-06-16,29,False
2019-06-23,34,False
2019-06-30,49,False
2019-07-07,32,False
2019-07-14,25,False
2019-07-21,39,False
2019-07-28,24,False
2019-08-04,25,False
2019-08-11,30,False
2019-08-18,54,False
2019-08-25,57,False
2019-09-01,26,False
2019-09-08,36,False
2019-09-15,36,False
2019-09-22,28,False
2019-09-29,46,False
2019-10-06,34,False
2019-10-13,44,False
2019-10-20,42,False
2019-10-27,52,False
2019-11-03,48,False
2019-11-10,74,False
2019-11-17,58,False
2019-11-24,43,False
2019-12-01,62,False
2019-12-08,62,False
2019-12-15,36,False
2019-12-22,37,False
2019-12-29,30,False
2020-01-05,55,False
2020-01-12,47,False
2020-01-19,48,False
2020-01-26,52,False
2020-02-02,50,False
2020-02-09,58,False
2020-02-16,45,False
2020-02-23,62,False
2020-03-01,50,False
2020-03-08,51,False
2020-03-15,44,False
2020-03-22,23,False
2020-03-29,32,False
2020-04-05,49,False
2020-04-12,29,False
2020-04-19,18,False
2020-04-26,29,False
2020-05-03,31,False
2020-05-10,31,False
2020-05-17,32,False
2020-05-24,35,False
2020-05-31,59,False
2020-06-07,22,False
2020-06-14,42,False
2020-06-21,50,False
2020-06-28,30,False
2020-07-05,47,False
2020-07-12,60,False
2020-07-19,25,False
2020-07-26,46,False
2020-08-02,41,False
2020-08-09,42,False
2020-08-16,39,False
2020-08-23,35,False
2020-08-30,37,False
2020-09-06,33,False
2020-09-13,30,False
2020-09-20,21,False
2020-09-27,34,False
2020-10-04,35,False
2020-10-11,44,False
2020-10-18,49,False
2020-10-25,46,False
2020-11-01,28,False
2020-11-08,34,False
2020-11-15,27,False
2020-11-22,30,False
2020-11-29,40,False
2020-12-06,72,False
2020-12-13,36,False
2020-12-20,28,False
2020-12-27,43,False
2021-01-03,42,False
2021-01-10,40,False
2021-01-17,32,False
2021-01-24,38,False
2021-01-31,40,False
2021-02-07,36,False
2021-02-14,24,False
2021-02-21,25,False
2021-02-28,25,False
2021-03-07,33,False
2021-03-14,55,False
2021-03-21,44,False
2021-03-28,28,False
2021-04-04,56,False
2021-04-11,45,False
2021-04-18,36,False
2021-04-25,24,False
2021-05-02,27,False
2021-05-09,14,False
2021-05-16,38,False
2021-05-23,49,False
2021-05-30,35,False
2021-06-06,32,False
2021-06-13,44,False
2021-06-20,48,False
2021-06-27,37,False
2021-07-04,42,False
2021-07-11,37,False
2021-07-18,27,False
2021-07-25,32,False
2021-08-01,33,False
2021-08-08,19,False
2021-08-15,31,False
2021-08-22,36,False
2021-08-29,28,False
2021-09-05,35,False
2021-09-12,34,False
2021-09-19,36,False
2021-09-26,14,False
2021-10-03,43,False
2021-10-10,32,False
2021-10-17,35,False
2021-10-24,24,False
2021-10-31,55,False
2021-11-07,29,False
2021-11-14,57,True
