date,Lingga,isPartial
2021-07-04,32,False
2021-07-11,28,False
2021-07-18,35,False
2021-07-25,30,False
2021-08-01,50,False
2021-08-08,44,False
2021-08-15,62,False
2021-08-22,57,False
2021-08-29,70,False
2021-09-05,81,False
2021-09-12,58,False
2021-09-19,68,False
2021-09-26,77,False
2021-10-03,48,False
2021-10-10,53,False
2021-10-17,49,False
2021-10-24,58,False
2021-10-31,42,False
2021-11-07,36,False
2021-11-14,41,True
