date,Musi Banyuasin,isPartial
2020-09-06,46,False
2020-09-13,19,False
2020-09-20,11,False
2020-09-27,34,False
2020-10-04,43,False
2020-10-11,20,False
2020-10-18,28,False
2020-10-25,21,False
2020-11-01,39,False
2020-11-08,40,False
2020-11-15,24,False
2020-11-22,56,False
2020-11-29,22,False
2020-12-06,16,False
2020-12-13,42,False
2020-12-20,50,False
2020-12-27,14,False
2021-01-03,25,False
2021-01-10,46,False
2021-01-17,29,False
2021-01-24,33,False
2021-01-31,29,False
2021-02-07,17,False
2021-02-14,8,False
2021-02-21,16,False
2021-02-28,44,False
2021-03-07,41,False
2021-03-14,47,False
2021-03-21,40,False
2021-03-28,38,False
2021-04-04,25,False
2021-04-11,22,False
2021-04-18,50,False
2021-04-25,34,False
2021-05-02,31,False
2021-05-09,25,False
2021-05-16,58,False
2021-05-23,21,False
2021-05-30,37,False
2021-06-06,51,False
2021-06-13,21,False
2021-06-20,39,False
2021-06-27,34,False
2021-07-04,48,False
2021-07-11,56,False
2021-07-18,31,False
2021-07-25,40,False
2021-08-01,32,False
2021-08-08,36,False
2021-08-15,20,False
2021-08-22,37,False
2021-08-29,33,False
2021-09-05,30,False
2021-09-12,38,False
2021-09-19,25,False
2021-09-26,35,False
2021-10-03,26,False
2021-10-10,98,False
2021-10-17,100,False
2021-10-24,17,False
2021-10-31,38,False
2021-11-07,26,False
2021-11-14,50,True
