date,Nias Barat,isPartial
2019-11-10,54,False
2019-11-17,72,False
2019-11-24,27,False
2019-12-01,18,False
2019-12-08,28,False
2019-12-15,0,False
2019-12-22,30,False
2019-12-29,10,False
2020-01-05,28,False
2020-01-12,43,False
2020-01-19,74,False
2020-01-26,46,False
2020-02-02,27,False
2020-02-09,27,False
2020-02-16,18,False
2020-02-23,44,False
2020-03-01,27,False
2020-03-08,52,False
2020-03-15,24,False
2020-03-22,55,False
2020-03-29,8,False
2020-04-05,15,False
2020-04-12,31,False
2020-04-19,25,False
2020-04-26,42,False
2020-05-03,25,False
2020-05-10,8,False
2020-05-17,9,False
2020-05-24,9,False
2020-05-31,54,False
2020-06-07,60,False
2020-06-14,34,False
2020-06-21,35,False
2020-06-28,9,False
2020-07-05,18,False
2020-07-12,17,False
2020-07-19,15,False
2020-07-26,16,False
2020-08-02,30,False
2020-08-09,22,False
2020-08-16,8,False
2020-08-23,60,False
2020-08-30,45,False
2020-09-06,37,False
2020-09-13,36,False
2020-09-20,63,False
2020-09-27,50,False
2020-10-04,22,False
2020-10-11,61,False
2020-10-18,23,False
2020-10-25,8,False
2020-11-01,15,False
2020-11-08,23,False
2020-11-15,39,False
2020-11-22,38,False
2020-11-29,84,False
2020-12-06,100,False
2020-12-13,40,False
2020-12-20,9,False
2020-12-27,9,False
2021-01-03,8,False
2021-01-10,24,False
2021-01-17,40,False
2021-01-24,24,False
2021-01-31,16,False
2021-02-07,41,False
2021-02-14,48,False
2021-02-21,31,False
2021-02-28,46,False
2021-03-07,0,False
2021-03-14,28,False
2021-03-21,38,False
2021-03-28,8,False
2021-04-04,40,False
2021-04-11,8,False
2021-04-18,32,False
2021-04-25,24,False
2021-05-02,8,False
2021-05-09,39,False
2021-05-16,26,False
2021-05-23,0,False
2021-05-30,47,False
2021-06-06,53,False
2021-06-13,24,False
2021-06-20,0,False
2021-06-27,16,False
2021-07-04,25,False
2021-07-11,50,False
2021-07-18,51,False
2021-07-25,23,False
2021-08-01,62,False
2021-08-08,39,False
2021-08-15,31,False
2021-08-22,40,False
2021-08-29,40,False
2021-09-05,16,False
2021-09-12,16,False
2021-09-19,57,False
2021-09-26,33,False
2021-10-03,33,False
2021-10-10,60,False
2021-10-17,26,False
2021-10-24,16,False
2021-10-31,8,False
2021-11-07,25,False
2021-11-14,29,True
