date,Labuhan Batu,isPartial
2021-03-28,20,False
2021-04-04,21,False
2021-04-11,40,False
2021-04-18,32,False
2021-04-25,25,False
2021-05-02,17,False
2021-05-09,14,False
2021-05-16,31,False
2021-05-23,26,False
2021-05-30,29,False
2021-06-06,30,False
2021-06-13,31,False
2021-06-20,32,False
2021-06-27,22,False
2021-07-04,33,False
2021-07-11,27,False
2021-07-18,26,False
2021-07-25,23,False
2021-08-01,16,False
2021-08-08,27,False
2021-08-15,30,False
2021-08-22,24,False
2021-08-29,21,False
2021-09-05,13,False
2021-09-12,16,False
2021-09-19,12,False
2021-09-26,25,False
2021-10-03,15,False
2021-10-10,17,False
2021-10-17,25,False
2021-10-24,17,False
2021-10-31,35,False
2021-11-07,28,False
2021-11-14,29,True
