date,Nagekeo,isPartial
2019-12-22,8,False
2019-12-29,0,False
2020-01-05,28,False
2020-01-12,53,False
2020-01-19,49,False
2020-01-26,49,False
2020-02-02,42,False
2020-02-09,62,False
2020-02-16,41,False
2020-02-23,27,False
2020-03-01,14,False
2020-03-08,7,False
2020-03-15,25,False
2020-03-22,54,False
2020-03-29,0,False
2020-04-05,6,False
2020-04-12,24,False
2020-04-19,12,False
2020-04-26,6,False
2020-05-03,19,False
2020-05-10,32,False
2020-05-17,28,False
2020-05-24,43,False
2020-05-31,18,False
2020-06-07,23,False
2020-06-14,52,False
2020-06-21,34,False
2020-06-28,33,False
2020-07-05,27,False
2020-07-12,38,False
2020-07-19,76,False
2020-07-26,56,False
2020-08-02,57,False
2020-08-09,28,False
2020-08-16,31,False
2020-08-23,34,False
2020-08-30,34,False
2020-09-06,22,False
2020-09-13,33,False
2020-09-20,37,False
2020-09-27,22,False
2020-10-04,11,False
2020-10-11,23,False
2020-10-18,29,False
2020-10-25,12,False
2020-11-01,28,False
2020-11-08,47,False
2020-11-15,18,False
2020-11-22,18,False
2020-11-29,0,False
2020-12-06,76,False
2020-12-13,31,False
2020-12-20,20,False
2020-12-27,21,False
2021-01-03,37,False
2021-01-10,49,False
2021-01-17,25,False
2021-01-24,6,False
2021-01-31,37,False
2021-02-07,12,False
2021-02-14,12,False
2021-02-21,18,False
2021-02-28,23,False
2021-03-07,18,False
2021-03-14,26,False
2021-03-21,47,False
2021-03-28,31,False
2021-04-04,6,False
2021-04-11,32,False
2021-04-18,43,False
2021-04-25,19,False
2021-05-02,39,False
2021-05-09,44,False
2021-05-16,53,False
2021-05-23,56,False
2021-05-30,24,False
2021-06-06,40,False
2021-06-13,49,False
2021-06-20,13,False
2021-06-27,56,False
2021-07-04,78,False
2021-07-11,38,False
2021-07-18,19,False
2021-07-25,35,False
2021-08-01,36,False
2021-08-08,36,False
2021-08-15,29,False
2021-08-22,24,False
2021-08-29,24,False
2021-09-05,19,False
2021-09-12,25,False
2021-09-19,12,False
2021-09-26,32,False
2021-10-03,19,False
2021-10-10,52,False
2021-10-17,7,False
2021-10-24,50,False
2021-10-31,37,False
2021-11-07,19,False
2021-11-14,15,True
